Point,X_Fuel,X_O2,X_N2,X_Ar,X_He,P,T,PHI
447,1.368,20.72,77.91,0,0,20,723,1
448,1.368,20.72,77.91,0,0,23.7,737,1
449,1.368,20.72,77.91,0,0,20.9,750,1
450,1.368,20.72,77.91,0,0,20.8,753,1
451,1.368,20.72,77.91,0,0,21.2,755,1
452,1.368,20.72,77.91,0,0,20.5,757,1
453,1.368,20.72,77.91,0,0,23,797,1
454,1.368,20.72,77.91,0,0,24.8,797,1
455,1.368,20.72,77.91,0,0,21.5,802,1
456,1.368,20.72,77.91,0,0,23.2,803,1
457,1.368,20.72,77.91,0,0,22.1,815,1
458,1.368,20.72,77.91,0,0,19.1,820,1
459,1.368,20.72,77.91,0,0,21.2,826,1
460,1.368,20.72,77.91,0,0,21.7,831,1
461,1.368,20.72,77.91,0,0,20.5,836,1
462,1.368,20.72,77.91,0,0,20.9,845,1
463,1.368,20.72,77.91,0,0,21.2,849,1
464,1.368,20.72,77.91,0,0,22.1,849,1
465,1.368,20.72,77.91,0,0,21.8,851,1
466,1.368,20.72,77.91,0,0,22.8,871,1
467,1.368,20.72,77.91,0,0,21.6,882,1
468,1.368,20.72,77.91,0,0,21.5,904,1
469,1.368,20.72,77.91,0,0,20.9,931,1
470,1.368,20.72,77.91,0,0,22.7,940,1
471,1.368,20.72,77.91,0,0,21.1,955,1
472,1.368,20.72,77.91,0,0,21.7,973,1
473,1.368,20.72,77.91,0,0,19.9,984,1
474,1.368,20.72,77.91,0,0,18.9,991,1
475,1.368,20.72,77.91,0,0,19.2,1025,1
476,1.368,20.72,77.91,0,0,16.7,1043,1
477,1.368,20.72,77.91,0,0,21.6,1046,1
478,1.368,20.72,77.91,0,0,21,1050,1
479,1.368,20.72,77.91,0,0,19.3,1072,1
480,1.368,20.72,77.91,0,0,19.1,1083,1
481,1.368,20.72,77.91,0,0,18.4,1092,1
