Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,iso-alkanes,monicyclic-alkanes,polycyclic-alkanes,Aromatics,Others,Formula_H,Set,IDT_ms_pred
198,0.16,1.27,20.73,78.0,10.03,1301.8,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.1462
200,0.068,1.27,20.73,78.0,10.5,1431.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.05499999999999999
201,0.044,1.27,20.73,78.0,10.24,1517.0,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.05260000000000001
204,0.399,2.5,20.48,77.03,9.98,1148.9,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.41200000000000003
206,0.184,2.5,20.48,77.03,10.06,1253.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.1956
207,0.107,2.5,20.48,77.03,9.8,1348.3,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.10700000000000001
209,0.05,2.5,20.48,77.03,9.91,1493.8,20.76559,28.82611,23.55078,4.31528,6.4803,21.421,Training,0.0488
211,1.278,0.61,20.87,78.52,2.84,1171.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.0024000000000004
213,0.628,0.61,20.87,78.52,3.22,1237.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5442
214,0.372,0.61,20.87,78.52,3.02,1304.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.4448
216,0.158,0.61,20.87,78.52,3.05,1411.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.14759999999999998
218,0.073,0.61,20.87,78.52,3.06,1513.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.07959999999999999
219,0.244,0.61,20.87,78.52,11.2,1261.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.209
221,0.176,0.61,20.87,78.52,10.01,1300.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.1578
222,1.496,0.61,20.87,78.52,9.73,1087.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.30214
224,0.09,0.61,20.87,78.52,9.89,1392.7,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.08360000000000001
225,0.062,0.61,20.87,78.52,9.98,1448.9,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.061
226,0.704,0.61,20.87,78.52,9.3,1144.2,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5672
228,0.934,1.25,20.74,78.01,2.89,1181.0,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.8
229,0.28,1.25,20.74,78.01,3.17,1331.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.242
230,0.106,1.25,20.74,78.01,3.32,1466.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.10600000000000001
235,0.426,1.25,20.74,78.01,3.24,1282.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.39680000000000004
238,0.188,1.25,20.74,78.01,2.92,1383.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.1902
240,0.492,1.25,20.74,78.01,9.19,1158.2,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.45320000000000005
241,1.438,1.25,20.74,78.01,10.38,1065.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.2706
243,0.058,1.25,20.74,78.01,10.26,1416.4,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.0655999999999776
244,0.3,1.25,20.74,78.01,10.05,1202.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.2958
247,0.514,2.47,20.48,77.05,3.3,1248.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5388000000000001
248,1.418,2.47,20.48,77.05,3.27,1137.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,1.2904
250,0.251,2.47,20.48,77.05,3.16,1328.5,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.1496
251,0.166,2.47,20.48,77.05,2.97,1394.6,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.10959999999999999
252,0.08,2.47,20.48,77.05,3.11,1474.3,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.0882
253,0.643,2.47,20.48,77.05,3.09,1214.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.6844
255,0.346,2.47,20.48,77.05,9.43,1171.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.6174
256,0.482,2.47,20.48,77.05,10.97,1115.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.5048
258,0.166,2.47,20.48,77.05,10.85,1241.1,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.3212
259,0.056,2.47,20.48,77.05,10.22,1392.9,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.0591999999999776
260,0.084,2.47,20.48,77.05,10.54,1329.8,31.47275,20.64195,5.12337,15.45842,4.61387,20.07,Training,0.08400000000000002
262,1.519,0.64,20.86,78.5,2.95,1141.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.4988000000000001
264,0.51,0.64,20.86,78.5,3.05,1259.3,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.4712
265,0.259,0.64,20.86,78.5,2.98,1320.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.2848
266,0.138,0.64,20.86,78.5,3.04,1409.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.1476
267,0.071,0.64,20.86,78.5,2.9,1475.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.10679999999999999
268,1.54,0.64,20.86,78.5,10.03,1081.3,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.4254000000000002
269,0.985,0.64,20.86,78.5,9.57,1128.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.9777999999999999
270,0.497,0.64,20.86,78.5,9.85,1192.5,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.4938722
272,0.222,0.64,20.86,78.5,10.29,1276.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.22200000000000003
273,0.145,0.64,20.86,78.5,10.43,1324.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.13886
274,0.093,0.64,20.86,78.5,9.7,1380.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.10614
275,0.068,0.64,20.86,78.5,9.84,1439.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.06343784000000001
277,0.997,1.27,20.73,78.0,2.94,1189.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.9884000000000001
279,0.326,1.27,20.73,78.0,2.94,1288.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.3446000000000001
280,0.207,1.27,20.73,78.0,3.04,1356.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.17800000000000002
281,0.124,1.27,20.73,78.0,3.04,1408.3,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.1476
282,0.06,1.27,20.73,78.0,3.0,1499.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.085
283,1.18,1.27,20.73,78.0,9.91,1096.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,1.213
285,0.38,1.27,20.73,78.0,9.86,1192.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.36400000000000005
286,0.226,1.27,20.73,78.0,9.98,1248.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.233
287,0.17,1.27,20.73,78.0,9.99,1299.2,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.1708
288,0.099,1.27,20.73,78.0,10.2,1361.5,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.0994
289,0.065,1.27,20.73,78.0,10.06,1423.7,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.0722
290,1.47,2.5,20.48,77.02,2.96,1143.8,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,2.9608000000000003
292,0.49,2.5,20.48,77.02,3.04,1257.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,2.3778
293,0.299,2.5,20.48,77.02,2.96,1313.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.31779999999999997
295,0.13,2.5,20.48,77.02,2.88,1414.1,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.1196
296,0.072,2.5,20.48,77.02,2.97,1494.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.08140000000000001
298,0.783,2.5,20.48,77.02,10.08,1103.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,2.6782000000000004
300,0.245,2.5,20.48,77.02,10.19,1224.4,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,2.2239999999999998
302,0.12,2.5,20.48,77.02,10.44,1323.9,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.1088
303,0.064,2.5,20.48,77.02,10.32,1419.0,84.94848,0.99754,0.09832,0.00683,0.0,24.82,Training,0.07199999999997757
304,1.5,0.64,20.86,78.5,10.01,1100.6,45.76681263,15.39099921,3.780174135,11.32820999,3.380582549,21.29,Training,1.377
308,0.152,0.64,20.86,78.5,10.26,1314.7,45.76681263,15.39099921,3.780174135,11.32820999,3.380582549,21.29,Training,0.12899999999999998
309,0.101,0.64,20.86,78.5,9.59,1373.2,45.76681263,15.39099921,3.780174135,11.32820999,3.380582549,21.29,Training,0.10314
311,0.048,0.64,20.86,78.5,10.33,1473.0,45.76681263,15.39099921,3.780174135,11.32820999,3.380582549,21.29,Training,0.05299999999995763
312,1.296,1.27,20.73,78.0,9.91,1076.0,45.76681263,15.39099921,3.780174135,11.32820999,3.380582549,21.29,Training,1.2272000000000005
