Point,IDT_ms,X_Fuel,X_O2,X_N2,P,T,Formula_H,Set,IDT_ms_pred
471,1.354,1.368,20.72,77.91,21.1,955.0,19.91,Training,1.2278408700572494
474,1.05,1.368,20.72,77.91,18.9,991.0,19.91,Training,1.2004487130287216
477,0.563,1.368,20.72,77.91,21.6,1046.0,19.91,Training,0.5398969114297774
479,0.464,1.368,20.72,77.91,19.3,1072.0,19.91,Training,0.6017745316625964
484,0.249,1.368,20.72,77.91,18.1,1109.0,19.91,Training,0.45019367742667654
488,0.176,1.368,20.72,77.91,18.1,1143.0,19.91,Training,0.45019367742667654
490,0.104,1.368,20.72,77.91,18.1,1177.0,19.91,Training,0.3694081987222335
492,0.095,1.368,20.72,77.91,16.5,1197.0,19.91,Training,0.3694081987222335
494,1.885,1.368,20.72,77.91,36.6,741.0,19.91,Training,1.9559748977823976
495,1.707,1.368,20.72,77.91,40.3,763.0,19.91,Training,1.9559748977823976
496,1.644,1.368,20.72,77.91,38.5,812.0,19.91,Training,1.9559748977823976
499,1.423,1.368,20.72,77.91,36.9,852.0,19.91,Training,1.9559748977823976
502,1.55,1.368,20.72,77.91,39.3,888.0,19.91,Training,1.6992948977823978
504,1.689,1.368,20.72,77.91,34.5,904.0,19.91,Training,1.6992948977823978
506,1.192,1.368,20.72,77.91,36.5,945.0,19.91,Training,1.2278408700572494
507,0.819,1.368,20.72,77.91,41.1,964.0,19.91,Training,1.0104610363774158
510,0.689,1.368,20.72,77.91,40.3,1008.0,19.91,Training,0.8556639349281401
511,0.462,1.368,20.72,77.91,38.8,1021.0,19.91,Training,0.6388642047694089
514,0.298,1.368,20.72,77.91,38.5,1054.0,19.91,Training,0.5398969114297774
516,0.107,1.368,20.72,77.91,39.6,1132.0,19.91,Training,0.45019367742667654
517,0.092,1.368,20.72,77.91,40.3,1161.0,19.91,Training,0.4026188068164649
520,0.04,1.368,20.72,77.91,40.9,1224.0,19.91,Training,0.2469140534460751
521,0.038,1.368,20.72,77.91,38.8,1229.0,19.91,Training,0.2469140534460751
524,5.285,2.038,20.58,77.38,20.1,672.0,19.91,Training,3.8693875000000006
527,2.528,2.038,20.58,77.38,23.0,706.0,19.91,Training,2.894369897782398
529,1.72,2.038,20.58,77.38,19.7,717.0,19.91,Training,2.543549897782398
532,1.832,2.038,20.58,77.38,19.6,759.0,19.91,Training,1.9559748977823976
534,1.678,2.038,20.58,77.38,21.0,810.0,19.91,Training,1.9559748977823976
537,1.761,2.038,20.58,77.38,19.1,837.0,19.91,Training,1.9559748977823976
539,1.655,2.038,20.58,77.38,22.2,880.0,19.91,Training,1.9559748977823976
542,1.612,2.038,20.58,77.38,20.5,910.0,19.91,Training,1.6992948977823978
544,0.816,2.038,20.58,77.38,23.2,989.0,19.91,Training,0.8556639349281401
545,0.756,2.038,20.58,77.38,18.9,1004.0,19.91,Training,1.2004487130287216
548,0.524,2.038,20.58,77.38,20.9,1020.0,19.91,Training,0.6388642047694089
550,0.371,2.038,20.58,77.38,22.4,1049.0,19.91,Training,0.5398969114297774
552,0.291,2.038,20.58,77.38,22.3,1088.0,19.91,Training,0.4428488509115255
556,0.155,2.038,20.58,77.38,18.9,1132.0,19.91,Training,0.45019367742667654
557,0.119,2.038,20.58,77.38,20.3,1157.0,19.91,Training,0.4026188068164649
561,1.621,1.171,20.76,78.07,22.5,700.0,24.9,Training,3.5555522058823534
562,1.334,1.171,20.76,78.07,20.6,717.0,24.9,Training,2.8842222959724433
564,1.453,1.171,20.76,78.07,19.6,759.0,24.9,Training,2.2966472959724427
566,1.295,1.171,20.76,78.07,20.0,832.0,24.9,Training,2.2966472959724427
568,1.547,1.171,20.76,78.07,18.7,870.0,24.9,Training,2.2966472959724427
569,1.362,1.171,20.76,78.07,18.7,926.0,24.9,Training,2.0399672959724433
570,1.142,1.171,20.76,78.07,20.9,942.0,24.9,Training,1.2278408700572494
573,0.423,1.171,20.76,78.07,24.0,1044.0,24.9,Training,0.5398969114297774
574,0.387,1.171,20.76,78.07,20.8,1046.0,24.9,Training,0.5398969114297774
576,0.292,1.171,20.76,78.07,19.0,1086.0,24.9,Training,0.4704994578680472
577,0.221,1.171,20.76,78.07,20.3,1119.0,24.9,Training,0.45019367742667654
580,0.083,1.171,20.76,78.07,20.0,1180.0,24.9,Training,0.3694081987222335
581,0.039,1.171,20.76,78.07,20.8,1260.0,24.9,Training,0.20341848752124092
582,3.562,1.286,20.74,77.97,19.2,651.0,22.88,Training,4.3719
583,1.557,1.286,20.74,77.97,19.8,689.0,22.88,Training,3.9765875000000004
585,1.094,1.286,20.74,77.97,20.6,733.0,22.88,Training,1.9559748977823976
586,1.19,1.286,20.74,77.97,18.0,808.0,22.88,Training,2.697759732947233
587,0.99,1.286,20.74,77.97,21.4,811.0,22.88,Training,1.9559748977823976
588,1.078,1.286,20.74,77.97,21.0,880.0,22.88,Training,1.9559748977823976
590,1.001,1.286,20.74,77.97,22.5,942.0,22.88,Training,1.2278408700572494
593,0.278,1.286,20.74,77.97,22.3,1097.0,22.88,Training,0.45019367742667654
594,0.223,1.286,20.74,77.97,19.2,1112.0,22.88,Training,0.45019367742667654
